"data_id","none_ps_min","none_ps_max","deterministic_truncation_ps_min","deterministic_truncation_ps_max","adaptive_truncation_ps_min","adaptive_truncation_ps_max","isotonic_regression_ps_min","isotonic_regression_ps_max"
"52f0c118ed594553b7426054dfcf6979",0.00588550278916955,0.995580494403839,0.114446644838088,0.885553355161912,0.00588550278916955,0.995580494403839,0,1
"17af4202d1834950ae83b21185553e87",0.00717172911390662,0.988380908966064,0.114446644838088,0.885553355161912,0.00717172911390662,0.988380908966064,0,1
"6a5e9ee34f804ffc90132ebcf4c42e02",0.00269959401339293,0.995267629623413,0.114446644838088,0.885553355161912,0.00269959401339293,0.995267629623413,0,1
"aa4a70e6882643e09becd660aab13261",0.00291748344898224,0.997670471668243,0.114446644838088,0.885553355161912,0.00291748344898224,0.997670471668243,0,1
"bac2fe69e6274b48b4bec7470ac70906",0.00175538705661893,0.997309684753418,0.114446644838088,0.885553355161912,0.00175538705661893,0.997309684753418,0,1
"aa0bee131b3247f8b32ea96a187f58ed",0.0100583685562015,0.990568101406097,0.114446644838088,0.885553355161912,0.0100583685562015,0.990568101406097,0,1
"0e6e5fc6b11a4a3aa8f45c926cb345ff",0.00327635672874749,0.997277081012726,0.114446644838088,0.885553355161912,0.00327635672874749,0.997277081012726,0,1
"59f69379db7c4b6282e4f56d84ba34b1",0.24180069565773,0.754522264003754,0.24180069565773,0.754522264003754,0.315050388847911,0.684949611152089,0.266666666666667,0.538461538461538
"beffd755f1ee4d25bf1479e1da1db425",0.173405960202217,0.797885537147522,0.173405960202217,0.797885537147522,0.304477559841134,0.695522440158866,0.1875,0.662921348314607
"cffb23a61e894a62b15232fb6ac821bd",0.0061016408726573,0.984277904033661,0.114446644838088,0.885553355161912,0.0061016408726573,0.984277904033661,0,1
"d5a73b15cf79422084d01507b28508a7",0.00231370353139937,0.994787096977234,0.114446644838088,0.885553355161912,0.00231370353139937,0.994787096977234,0,1
"6116fa446869488784c83bd7c35a6dfd",0.00222453288733959,0.993709564208984,0.114446644838088,0.885553355161912,0.00222453288733959,0.993709564208984,0,1
"f692d7f2acf44c89802334e211736363",0.00284406426362693,0.993898153305054,0.114446644838088,0.885553355161912,0.00284406426362693,0.993898153305054,0,1
"816e8832cc8444b5a3d83b6f6569d3b5",0.00250590196810663,0.992408275604248,0.114446644838088,0.885553355161912,0.00250590196810663,0.992408275604248,0,1
"77c2dc7251d64d15b907ce36a9854d5c",0.00422646896913648,0.828715085983276,0.114446644838088,0.828715085983276,0.00422646896913648,0.828715085983276,0,1
"f09c11d29afd4b40b7c6a4ec1772f32e",0.00275176949799061,0.97111040353775,0.114446644838088,0.885553355161912,0.00275176949799061,0.97111040353775,0,1
"d7d86368726f41f0adb7d1bacd7311a0",0.00469953427091241,0.917155742645264,0.114446644838088,0.885553355161912,0.00469953427091241,0.917155742645264,0,0.888888888888889
"af6436de30c94a1a8de58267cead3932",0.00273581244982779,0.73921000957489,0.114446644838088,0.73921000957489,0.00273581244982779,0.73921000957489,0,1
"1a00a9b8ebb440c5bfc06d1774bdaa4c",0.00234791124239564,0.99243438243866,0.114446644838088,0.885553355161912,0.00234791124239564,0.99243438243866,0,1
"81f7e8bb6d7f47cc85824e8e4d8cb09b",0.218888506293297,0.623421669006348,0.218888506293297,0.623421669006348,0.408410904335177,0.591589095664823,0.397993311036789,0.41747572815534
"264f84ba7cd847d3995bfae07114db92",0.00238580256700516,0.99536406993866,0.114446644838088,0.885553355161912,0.00238580256700516,0.99536406993866,0,1
